time,Vin,Vdiod,Idiod
0.0,0.0,0.0,0.0
-1.0719636e-08,0.0018185292,2.9439443e-07,1.2134928e-09
2.1439272e-08,0.0036369977,1.8538185e-06,4.860966e-09
4.277264e-08,0.0072555,1.1146872e-05,1.7702568e-08
6.7206344e-08,0.011398544,3.559101e-05,4.080602e-08
9.230206e-08,0.015651567,8.574186e-05,7.511172e-08
1.2199104e-07,0.020678882,0.00019365277,1.3018638e-07
1.6040114e-07,0.027174115,0.00043747976,2.2404868e-07
2.1154769e-07,0.03580268,0.0009984218,3.8693133e-07
2.7935795e-07,0.047195088,0.0022808898,6.662026e-07
3.7014567e-07,0.06233622,0.0052320696,1.1434225e-06
4.926605e-07,0.082500935,0.011521093,1.9289012e-06
5.952562e-07,0.09908662,0.019326666,2.693294e-06
7.115394e-07,0.11747896,0.03163495,3.650455e-06
8.3949135e-07,0.13712715,0.049335532,4.748299e-06
9.792766e-07,0.15776871,0.073890515,5.916259e-06
1.1781e-06,0.18540086,0.11645058,7.3229126e-06
1.4830703e-06,0.2231237,0.18731585,8.717345e-06
1.8135121e-06,0.25649473,0.25258297,9.138714e-06
2.2450372e-06,0.28648922,0.30984792,8.559133e-06
2.4239448e-06,0.29401475,0.32403955,8.071634e-06
2.609394e-06,0.29864103,0.33301926,7.4256495e-06
2.804112e-06,0.29996672,0.3399779,6.655176e-06
2.9873243e-06,0.29789627,0.3446377,5.7941115e-06
3.285345e-06,0.28772733,0.3494045,4.04663e-06
3.6059946e-06,0.26769492,0.3517409,1.6858161e-06
3.81488e-06,0.24987023,0.35143346,-2.1214669e-07
3.969445e-06,0.2344234,0.3499629,-1.8645844e-06
4.089029e-06,0.22123785,0.34788543,-3.3065544e-06
4.2311085e-06,0.20426258,0.34410965,-5.1987663e-06
4.375153e-06,0.1857078,0.33811313,-7.310958e-06
4.5936663e-06,0.15525228,0.32239997,-1.0803958e-05
4.8192373e-06,0.12133522,0.2884067,-1.4524322e-05
5.048668e-06,0.08481875,0.21502031,-1.784038e-05
5.292088e-06,0.044530984,0.08744565,-1.974299e-05
5.567708e-06,-0.0020615724,-0.08996541,-1.9280862e-05
5.7349757e-06,-0.03038572,-0.19909899,-1.7328564e-05
5.8838978e-06,-0.055382468,-0.28677252,-1.4332809e-05
6.0292996e-06,-0.07941091,-0.35621116,-1.0605234e-05
6.1704054e-06,-0.10221789,-0.4030529,-6.502188e-06
6.3203606e-06,-0.12573908,-0.43028834,-1.9333108e-06
6.412184e-06,-0.1397064,-0.4344084,8.3411123e-07
6.4858477e-06,-0.15064104,-0.42915547,2.9464252e-06
6.5643603e-06,-0.16200721,-0.41652346,5.026902e-06
6.6474418e-06,-0.17368664,-0.396855,7.0063093e-06
6.720448e-06,-0.18363416,-0.37472796,8.509707e-06
6.798743e-06,-0.19395417,-0.34671578,9.832619e-06
6.8802415e-06,-0.20429228,-0.31418183,1.086833e-05
6.973994e-06,-0.21564694,-0.27412426,1.16052925e-05
7.0791593e-06,-0.2276613,-0.22818916,1.1842501e-05
7.206224e-06,-0.24109991,-0.17506039,1.1287655e-05
7.379268e-06,-0.25738797,-0.1100598,9.448354e-06
7.4793506e-06,-0.2656934,-0.07855021,7.854176e-06
7.5614e-06,-0.27186877,-0.058515817,6.20809e-06
7.651909e-06,-0.2780016,-0.04273213,4.160465e-06
7.750088e-06,-0.28383046,-0.03286949,1.7667239e-06
7.843687e-06,-0.28857318,-0.030518299,-6.1232885e-07
7.917603e-06,-0.29174802,-0.034207363,-2.5125007e-06
7.998263e-06,-0.29463083,-0.044087324,-4.552097e-06
8.083792e-06,-0.29701805,-0.060718138,-6.6153293e-06
8.180946e-06,-0.29888684,-0.08702001,-8.757698e-06
8.291808e-06,-0.29991728,-0.12552772,-1.0856494e-05
8.406216e-06,-0.29974526,-0.1727679,-1.26084515e-05
8.470561e-06,-0.29909718,-0.20269112,-1.3336872e-05
8.543648e-06,-0.29788086,-0.23938464,-1.38724945e-05
8.616378e-06,-0.2961654,-0.27749544,-1.4083721e-05
8.734255e-06,-0.29232293,-0.34007254,-1.3749719e-05
8.880945e-06,-0.28573054,-0.41461754,-1.2339212e-05
9.030866e-06,-0.276963,-0.4806381,-9.78186e-06
9.188883e-06,-0.2655698,-0.5302157,-6.003531e-06
9.369307e-06,-0.24997614,-0.556141,-8.1769974e-07
9.519919e-06,-0.23496039,-0.5497296,3.8494395e-06
9.637295e-06,-0.22207117,-0.5236751,7.4599902e-06
9.753948e-06,-0.20829238,-0.47932813,1.0741548e-05
9.909968e-06,-0.18845834,-0.39894655,1.4346548e-05
1.010174e-05,-0.162088,-0.28285936,1.777312e-05
1.0127519e-05,-0.15839095,-0.2658833,1.8097708e-05
1.0179076e-05,-0.15089668,-0.23065095,1.8560875e-05
1.0191965e-05,-0.14900282,-0.2218062,1.8657202e-05
1.0217744e-05,-0.14519145,-0.20407578,1.880137e-05
1.02693e-05,-0.13747697,-0.16865362,1.9019237e-05
1.028219e-05,-0.13552983,-0.1598251,1.9052899e-05
1.0307968e-05,-0.13161407,-0.14229554,1.907259e-05
1.0359525e-05,-0.12369947,-0.10788485,1.8987186e-05
1.0462639e-05,-0.10756168,-0.043059237,1.8348926e-05
1.0668867e-05,-0.07424537,0.06996174,1.5841817e-05
1.0904317e-05,-0.035001874,0.16676764,1.1622986e-05
1.1165687e-05,0.009257132,0.23092364,6.0115985e-06
1.1369507e-05,0.04367999,0.2517244,1.5950193e-06
1.1549019e-05,0.07353241,0.25159058,-1.8977934e-06
1.1717496e-05,0.100866586,0.23902874,-4.5524575e-06
1.1895326e-05,0.12872095,0.21421197,-6.50287e-06
1.2080191e-05,0.15629473,0.17882496,-7.4542763e-06
1.2274167e-05,0.18338771,0.13736236,-7.150871e-06
1.24914195e-05,0.21110022,0.09572194,-5.345407e-06
1.2704822e-05,0.23522586,0.06833702,-2.3841328e-06
1.2871874e-05,0.25173998,0.0636448,5.464067e-07
1.308697e-05,0.26967916,0.08253376,4.566744e-06
1.3299009e-05,0.2834639,0.12530518,8.077253e-06
1.35970195e-05,0.2959231,0.20802502,1.1726836e-05
1.3781161e-05,0.2994435,0.25675115,1.2944567e-05
1.4015473e-05,0.29923174,0.30125937,1.3248857e-05
1.4261607e-05,0.29336122,0.32815102,1.2562309e-05
1.466073e-05,0.27187544,0.3513192,1.0097751e-05
1.4893327e-05,0.2528942,0.3589213,7.959191e-06
1.5127942e-05,0.22932348,0.36289614,5.142564e-06
1.5288819e-05,0.21080354,0.36414182,2.8620059e-06
1.5416575e-05,0.19484624,0.36408234,7.997868e-07
1.5556976e-05,0.17614065,0.36288172,-1.7195425e-06
1.5725913e-05,0.15217328,0.35979936,-5.05715e-06
1.5892374e-05,0.1271985,0.3551774,-8.5941565e-06
1.5917396e-05,0.12334141,0.3542325,-9.155809e-06
1.5967442e-05,0.11555393,0.3519902,-1.0314348e-05
1.5979953e-05,0.11359235,0.35138202,-1.0607506e-05
1.6004975e-05,0.10965224,0.35003665,-1.1202341e-05
1.6055019e-05,0.10170696,0.34691256,-1.2412963e-05
1.6155109e-05,0.085578464,0.33798337,-1.4896933e-05
1.6355287e-05,0.0525518,0.29667544,-1.9753397e-05
1.6647213e-05,0.0033001094,0.17007169,-2.5919555e-05
1.6800006e-05,-0.02259917,0.058699004,-2.7945045e-05
1.6949742e-05,-0.047817703,-0.081232235,-2.825945e-05
1.7085891e-05,-0.0704556,-0.21505849,-2.6999583e-05
1.7222523e-05,-0.09275345,-0.34617832,-2.4175139e-05
1.736885e-05,-0.11601675,-0.4743169,-1.97087e-05
1.7469836e-05,-0.13161817,-0.549836,-1.5850293e-05
1.7549253e-05,-0.14358817,-0.5972898,-1.2385512e-05
1.7627615e-05,-0.1551158,-0.631859,-8.717936e-06
1.7715634e-05,-0.16769962,-0.6561696,-4.4522412e-06
1.7801984e-05,-0.17964116,-0.66549456,-2.3679166e-07
1.7874216e-05,-0.18930256,-0.66076314,3.2131375e-06
1.7963042e-05,-0.20074926,-0.64029306,7.243175e-06
1.80477e-05,-0.21118753,-0.60740125,1.0741121e-05
1.8154422e-05,-0.22365424,-0.54987985,1.4519785e-05
1.8268076e-05,-0.23603415,-0.47417036,1.7573722e-05
1.8424766e-05,-0.25149384,-0.35637656,2.0290425e-05
1.8514322e-05,-0.25945088,-0.2860288,2.0977901e-05
1.8600836e-05,-0.26650614,-0.21858503,2.0844163e-05
1.8692146e-05,-0.27326027,-0.15118915,1.9993638e-05
1.8798086e-05,-0.28018284,-0.07990651,1.822815e-05
1.8896248e-05,-0.28570023,-0.021561861,1.5969677e-05
1.8965446e-05,-0.28906173,0.013628959,1.401594e-05
1.9035488e-05,-0.29201356,0.04290654,1.1750136e-05
1.9124112e-05,-0.29509148,0.07174264,8.607852e-06
1.9209301e-05,-0.29735175,0.09037305,5.377449e-06
1.9314151e-05,-0.29918608,0.10049338,1.2348705e-06
1.9428313e-05,-0.29998752,0.09718367,-3.3136378e-06
1.9524963e-05,-0.29968908,0.08287486,-7.0905066e-06
1.9588506e-05,-0.29900506,0.06645731,-9.458428e-06
1.9666946e-05,-0.29762846,0.038575497,-1.2180447e-05
1.9745945e-05,-0.2956503,0.0026310117,-1.46093425e-05
1.9872828e-05,-0.2912405,-0.06872825,-1.7780105e-05
2e-05,-0.28531694,-0.15039851,-2.0288424e-05
2.0049483e-05,-0.2826115,-0.18740968,-2.0781234e-05
2.0115462e-05,-0.2786604,-0.23865768,-2.1058127e-05
2.0247418e-05,-0.26960066,-0.3425784,-2.0451424e-05
2.0428031e-05,-0.25477934,-0.4744207,-1.7339642e-05
2.0664602e-05,-0.23137715,-0.6092217,-1.0111978e-05
